UserLocation	UserDescription	AccountLanguage	TweetLanguage	TweetText	TweetClient	isVerified
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @tribelaw: Impeachment proceedings aren’t the same thing as votes to impeach. I favor formal proceedings to investigate WHETHER Trump mu…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @DavidMa97314110: @TLangley99 @lazcarr1342 $179,000 a year!!! Almost the amount Pelosi the Speaker of the House earns! What Press Secret…	Twitter for iPad	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @415holgate: Rex Tillerson says Trump ‘asked him to do illegal things’ as secretary of state https://t.co/HoPth77u1s	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @JYSexton: Impeach him. Make Republicans go on the record and say they don’t care if a president coordinates with a foreign adversary or…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @tribelaw: Good for @RepCummings. Equally relevant: History will condemn all who stand up for their careers or their party but abandon t…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	und	RT @kaileelia: #FireSarahSanders https://t.co/PpYI0ARS90	Twitter for iPad	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: America is made great by our diversity &amp; the balance of socialist &amp; capitalist principals.
- co-equal branches of gov
- the…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: Let's all set a A MAGAt trap...
(A great use for all of those anti-forest fire rakes in the off season.)
❄️2🌊4⚖️,🗽&amp; pre🍊🤡…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: Mr or Mrs?  William Barr placed him/herself in drag to impersonate the singing fat lady in an attempt to cover for the🍊🤡.
O…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: WakeUp &amp; 🤔 about it 🇺🇸 our Democracy is at stake.

  History will reflect that when it comes to impeachable offenses, Clint…"	Twitter for Android	False
